Contig	Read_depth	GC_cont	Length	PrPl	PrChr
1	1.0	0.5840905666651081	769908	0.5	0.5
Link list:	(('79', 'h'), ('1', 'h'))	(('52', 't'), ('1', 't'))	
2	0.8691674157115441	0.5722874660409496	513118	0.5	0.5
Link list:	(('69', 'h'), ('2', 'h'))	(('60', 't'), ('2', 't'))	
3	1.002112046188907	0.5742523496251553	429111	0.5	0.5
Link list:	(('45', 'h'), ('3', 'h'))	(('106', 'h'), ('3', 't'))	
4	1.130574651630875	0.5834396741481624	367529	0.5	0.5
Link list:	(('4', 'h'), ('88', 't'))	(('87', 'h'), ('4', 't'))	
5	1.1113151950163225	0.5690891737114808	366700	0.5	0.5
Link list:	(('5', 'h'), ('91', 't'))	(('105', 'h'), ('5', 't'))	
6	1.0657564596414881	0.5772902591257258	349753	0.5	0.5
Link list:	(('6', 'h'), ('98', 't'))	(('91', 't'), ('6', 't'))	
7	0.8615807965813048	0.5715161147483948	252936	0.5	0.5
Link list:	(('7', 'h'), ('55', 't'))	(('45', 'h'), ('7', 't'))	
8	0.8069154770890327	0.5781179501062355	243798	0.5	0.5
Link list:	(('8', 'h'), ('74', 't'))	(('55', 't'), ('8', 't'))	
9	0.8457234129282409	0.5695597765733512	241332	0.5	0.5
Link list:	(('9', 'h'), ('52', 't'))	(('70', 't'), ('9', 't'))	
10	0.9038621196143011	0.5712229678725187	241102	0.5	0.5
Link list:	(('52', 'h'), ('10', 't'))	(('54', 'h'), ('10', 'h'))	
11	0.9139484901941256	0.566646918150328	231241	0.5	0.5
Link list:	(('11', 'h'), ('37', 't'))	(('104', 'h'), ('11', 't'))	
12	0.8310204600367196	0.5818664520529795	203777	0.5	0.5
Link list:	(('12', 'h'), ('73', 't'))	(('75', 'h'), ('12', 't'))	
13	0.8697225445725428	0.591967716078388	180895	0.5	0.5
Link list:	(('52', 'h'), ('13', 'h'))	(('73', 't'), ('13', 't'))	
14	1.0265570772248096	0.5802548484294567	169591	0.5	0.5
Link list:	(('54', 'h'), ('14', 't'))	(('106', 'h'), ('14', 'h'))	
15	1.0271361855943775	0.5633765961900774	133756	0.5	0.5
Link list:	(('15', 'h'), ('107', 't'))	(('80', 't'), ('15', 't'))	
16	0.9236398330207624	0.4892548794592026	111539	0.96	0.04
Link list:	(('16', 'h'), ('16', 't'))	
